Date, Filename, Author, Github URL, Direct Download URL
2020-06-23, pdf/Abode-DSS-Amendment.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Abode-DSS-Amendment.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Abode-DSS-Amendment.pdf
2020-06-12, pdf/Abode-DSS-Amendment.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Abode-DSS-Amendment.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Abode-DSS-Amendment.pdf
2020-06-23, pdf/Abode-DSS.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Abode-DSS.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Abode-DSS.pdf
2020-06-23, pdf/Abode-DSS.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Abode-DSS.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Abode-DSS.pdf
2020-06-18, pdf/Abode-DSS.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/12fbb4e94139303e556101ff1893cd1aacabb8ce/pdf/Abode-DSS.pdf, https://github.com/cagov/covid-static/raw/12fbb4e94139303e556101ff1893cd1aacabb8ce/pdf/Abode-DSS.pdf
2020-06-17, pdf/Abode-DSS.pdf, Chad Bratton, https://github.com/cagov/covid-static/blob/f928b89f01b09e0d608e5eea17cc44168e3c3012/pdf/Abode-DSS.pdf, https://github.com/cagov/covid-static/raw/f928b89f01b09e0d608e5eea17cc44168e3c3012/pdf/Abode-DSS.pdf
2020-06-12, pdf/Abode-DSS.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Abode-DSS.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Abode-DSS.pdf
2020-06-29, pdf/Accenture-LLP-CDPH.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/dab5cebc9dae206acb0abab8a7386f639c1c32d3/pdf/Accenture-LLP-CDPH.pdf, https://github.com/cagov/covid-static/raw/dab5cebc9dae206acb0abab8a7386f639c1c32d3/pdf/Accenture-LLP-CDPH.pdf
2020-06-23, pdf/Adaptive-energy-LLC-DGS-2.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Adaptive-energy-LLC-DGS-2.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Adaptive-energy-LLC-DGS-2.pdf
2020-06-23, pdf/Adaptive-energy-LLC-DGS-2.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Adaptive-energy-LLC-DGS-2.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Adaptive-energy-LLC-DGS-2.pdf
2020-06-12, pdf/Adaptive-energy-LLC-DGS-2.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Adaptive-energy-LLC-DGS-2.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Adaptive-energy-LLC-DGS-2.pdf
2020-06-23, pdf/Adaptive-energy-LLC-DGS-3.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Adaptive-energy-LLC-DGS-3.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Adaptive-energy-LLC-DGS-3.pdf
2020-06-23, pdf/Adaptive-energy-LLC-DGS-3.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Adaptive-energy-LLC-DGS-3.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Adaptive-energy-LLC-DGS-3.pdf
2020-06-12, pdf/Adaptive-energy-LLC-DGS-3.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Adaptive-energy-LLC-DGS-3.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Adaptive-energy-LLC-DGS-3.pdf
2020-06-23, pdf/Adaptive-energy-LLC-DGS.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Adaptive-energy-LLC-DGS.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Adaptive-energy-LLC-DGS.pdf
2020-06-23, pdf/Adaptive-energy-LLC-DGS.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Adaptive-energy-LLC-DGS.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Adaptive-energy-LLC-DGS.pdf
